id,title,description,categories,brand,price,currency_code,availability,uri,primary_image_uri,condition,language_code,attrs_year,attrs_make,attrs_model,attrs_engine,attrs_position
FM-OF-2018F150-50,Oil Filter for Ford F-150 5.0L 2018,"Oil filter compatible with Ford F-150 2018 5.0L V8. Replaces common OEM equivalents.",Auto Parts > Engine > Oil Filters,FordMate,14.99,USD,IN_STOCK,https://example.com/products/FM-OF-2018F150-50,https://example.com/images/FM-OF-2018F150-50.jpg,NEW,en,2018,Ford,F-150,5.0L V8,, 
FM-BP-F150-2018-FRONT,Brake Pads Front for Ford F-150 2018,"Front brake pad set for Ford F-150 2018. Quiet compound. Includes shims.",Auto Parts > Brakes > Brake Pads,FordMate,59.00,USD,IN_STOCK,https://example.com/products/FM-BP-F150-2018-FRONT,https://example.com/images/FM-BP-F150-2018-FRONT.jpg,NEW,en,2018,Ford,F-150,,FRONT
FM-BP-F150-2018-REAR,Brake Pads Rear for Ford F-150 2018,"Rear brake pad set for Ford F-150 2018. Low dust compound.",Auto Parts > Brakes > Brake Pads,FordMate,54.00,USD,IN_STOCK,https://example.com/products/FM-BP-F150-2018-REAR,https://example.com/images/FM-BP-F150-2018-REAR.jpg,NEW,en,2018,Ford,F-150,,REAR
IM-HV-1IN-SS-90,Stainless 90-Degree Elbow 1 inch,"Industrial stainless steel 90-degree elbow, 1 inch. For fluid and air lines.",Industrial > Fittings > Elbows,InduMax,12.50,USD,IN_STOCK,https://example.com/products/IM-HV-1IN-SS-90,https://example.com/images/IM-HV-1IN-SS-90.jpg,NEW,en,,,,, 
IM-HV-1IN-SS-TEE,Stainless Tee Fitting 1 inch,"Industrial stainless steel tee fitting, 1 inch. For split lines.",Industrial > Fittings > Tees,InduMax,13.20,USD,IN_STOCK,https://example.com/products/IM-HV-1IN-SS-TEE,https://example.com/images/IM-HV-1IN-SS-TEE.jpg,NEW,en,,,,, 
FM-AF-2018F150,Engine Air Filter for Ford F-150 2018,"Engine air filter for Ford F-150 2018. High flow media.",Auto Parts > Engine > Air Filters,FordMate,21.99,USD,IN_STOCK,https://example.com/products/FM-AF-2018F150,https://example.com/images/FM-AF-2018F150.jpg,NEW,en,2018,Ford,F-150,,, 
FM-SP-2018F150,Serpentine Belt for Ford F-150 2018,"Serpentine belt for Ford F-150 2018. Durable EPDM rubber.",Auto Parts > Engine > Belts,FordMate,29.99,USD,IN_STOCK,https://example.com/products/FM-SP-2018F150,https://example.com/images/FM-SP-2018F150.jpg,NEW,en,2018,Ford,F-150,,, 
FM-WB-2018F150-FRONT,Front Wiper Blades Pair Ford F-150 2018,"Front wiper blades pair for Ford F-150 2018. All-season.",Auto Parts > Exterior > Wiper Blades,FordMate,24.99,USD,IN_STOCK,https://example.com/products/FM-WB-2018F150-FRONT,https://example.com/images/FM-WB-2018F150-FRONT.jpg,NEW,en,2018,Ford,F-150,,,FRONT
IM-HVAC-FLTR-16x25,MERV 11 HVAC Filter 16x25,"HVAC air filter 16x25, MERV 11. For residential and light commercial.",Industrial > HVAC > Filters,InduMax,18.00,USD,IN_STOCK,https://example.com/products/IM-HVAC-FLTR-16x25,https://example.com/images/IM-HVAC-FLTR-16x25.jpg,NEW,en,,,,, 
FM-PL-2018F150-50,Spark Plugs Set Ford F-150 5.0L 2018,"Spark plugs set for Ford F-150 2018 5.0L V8. Set of 8.",Auto Parts > Engine > Spark Plugs,FordMate,79.00,USD,IN_STOCK,https://example.com/products/FM-PL-2018F150-50,https://example.com/images/FM-PL-2018F150-50.jpg,NEW,en,2018,Ford,F-150,5.0L V8,, 
